,0,1,2,3,4
116,"[10, 200]",0,1,25,0.8246985359419895
117,"[10, 100]",0,1,25,0.3984121003940838
118,"[200, 50]",0,1,25,0.7671179798088767
119,"[100, 50]",0,1,25,0.38969702078271645
120,"[10, 100, 50]",0,1,25,0.7154878718162957
121,"[200, 10, 100]",0,1,25,0.49910955478950897
122,"[50, 10, 100]",0,1,25,0.7114429743467756
123,"[10, 200, 100]",0,1,25,0.515941113657458
124,"[100, 10, 200]",0,1,25,0.5370410993670983
125,"[100, 200, 50]",0,1,25,0.28613182484673677
126,"[100, 50, 10]",0,1,25,0.6801306703281247
127,"[200, 50, 10]",0,1,25,0.5629012334433319
128,"[50, 10, 200]",0,1,25,0.39553162871513853
129,"[50, 200, 10]",0,1,25,0.5811718381991938
130,"[100, 200, 10]",0,1,25,0.7442224129179319
131,"[10, 50, 100]",0,1,25,0.5615055007848813
132,"[100, 10, 50]",0,1,25,0.388140051541811
133,"[200, 10, 50]",0,1,25,0.6728505066237077
134,"[200, 100, 50]",0,1,25,0.648012659191743
135,"[50, 100, 200]",0,1,25,0.5349874728082467
136,"[10, 200, 50]",0,1,25,0.6608509195205597
137,"[200, 100, 10]",0,1,25,0.4637533080486194
138,"[10, 50, 200]",0,1,25,0.806776143826383
139,"[50, 100, 10]",0,1,25,0.274041804050231
140,"[200, 50, 100]",0,1,25,0.8481794860648014
141,"[50, 200, 100]",0,1,25,0.6994643599366913
142,"[10, 100, 200]",0,1,25,0.6810884566326446
143,"[100, 50, 200]",0,1,25,0.5678671001781559
144,"[10, 50]",0,1,50,0.4465828059525043
145,"[100, 200]",0,1,50,0.5569782794881194
146,"[50, 200]",0,1,50,0.6100630097663428
147,"[50, 10]",0,1,50,0.42830702606586984
148,"[50, 100]",0,1,50,0.4119855880200416
149,"[200, 10]",0,1,50,0.5208433409275206
150,"[100, 10]",0,1,50,0.4501547562459556
151,"[200, 100]",0,1,50,0.37342041118490027
152,"[10, 200]",0,1,50,0.8341884821862386
153,"[10, 100]",0,1,50,0.3984121003940838
154,"[200, 50]",0,1,50,0.4144185632425783
155,"[100, 50]",0,1,50,0.5292588317582783
156,"[10, 100, 50]",0,1,50,0.6077699824462093
157,"[200, 10, 100]",0,1,50,0.6600203568866654
158,"[50, 10, 100]",0,1,50,0.7172651882256462
159,"[10, 200, 100]",0,1,50,0.46094750320102434
160,"[100, 10, 200]",0,1,50,0.6118703717533003
161,"[100, 200, 50]",0,1,50,0.7411429180078717
162,"[100, 50, 10]",0,1,50,0.5582728268261201
163,"[200, 50, 10]",0,1,50,0.30136207908103874
164,"[50, 10, 200]",0,1,50,0.5701620876984437
165,"[50, 200, 10]",0,1,50,0.5437572268067737
166,"[100, 200, 10]",0,1,50,0.7461444986905669
167,"[10, 50, 100]",0,1,50,0.776378452810428
168,"[100, 10, 50]",0,1,50,0.6125233754090696
169,"[200, 10, 50]",0,1,50,0.7118066070118402
170,"[200, 100, 50]",0,1,50,0.7045117501414553
171,"[50, 100, 200]",0,1,50,0.47219086918381165
172,"[10, 200, 50]",0,1,50,0.5097544890153245
173,"[200, 100, 10]",0,1,50,0.4070221066319896
174,"[10, 50, 200]",0,1,50,0.6298685545418073
175,"[50, 100, 10]",0,1,50,0.47105724978519675
176,"[200, 50, 100]",0,1,50,0.8370640485754735
177,"[50, 200, 100]",0,1,50,0.7020897883583036
178,"[10, 100, 200]",0,1,50,0.4028875800934624
179,"[100, 50, 200]",0,1,50,0.6214857341171425
180,"[10, 50]",2,3,10,0.40654481585946334
181,"[100, 200]",2,3,10,0.8219580641897511
182,"[50, 200]",2,3,10,0.41944998532431
183,"[50, 10]",2,3,10,0.3935707842981264
184,"[50, 100]",2,3,10,0.6861741237461668
185,"[200, 10]",2,3,10,0.4324727627518524
186,"[100, 10]",2,3,10,0.8562605062021816
187,"[200, 100]",2,3,10,0.6764770607073438
188,"[10, 200]",2,3,10,0.4512346423961295
189,"[10, 100]",2,3,10,0.4196174656550457
190,"[200, 50]",2,3,10,0.5267352944602353
191,"[100, 50]",2,3,10,0.48011661649974313
192,"[10, 100, 50]",2,3,10,0.6447681018395107
193,"[200, 10, 100]",2,3,10,0.5133593127150359
194,"[50, 10, 100]",2,3,10,0.8325385726017613
195,"[10, 200, 100]",2,3,10,0.8303481777842825
196,"[100, 10, 200]",2,3,10,0.8510313303008811
197,"[100, 200, 50]",2,3,10,0.6005371726719744
198,"[100, 50, 10]",2,3,10,0.3726829789030738
199,"[200, 50, 10]",2,3,10,0.8627626356322607
200,"[50, 10, 200]",2,3,10,0.8118159463891856
201,"[50, 200, 10]",2,3,10,0.5428065739570164
202,"[100, 200, 10]",2,3,10,0.498717111499776
203,"[10, 50, 100]",2,3,10,0.8437851595066744
204,"[100, 10, 50]",2,3,10,0.42223497471283566
205,"[200, 10, 50]",2,3,10,0.6010236364216132
206,"[200, 100, 50]",2,3,10,0.8434974979094655
207,"[50, 100, 200]",2,3,10,0.6295674501574101
208,"[10, 200, 50]",2,3,10,0.8378666120775549
209,"[200, 100, 10]",2,3,10,0.5776306674860844
210,"[10, 50, 200]",2,3,10,0.6834135940540521
211,"[50, 100, 10]",2,3,10,0.8289355677214498
212,"[200, 50, 100]",2,3,10,0.6932993111714383
213,"[50, 200, 100]",2,3,10,0.6556887787382386
214,"[10, 100, 200]",2,3,10,0.7584130840873593
215,"[100, 50, 200]",2,3,10,0.7597985517414824
216,"[10, 50]",2,3,25,0.3709609661900023
217,"[100, 200]",2,3,25,0.6890125265251861
218,"[50, 200]",2,3,25,0.4088984479897103
219,"[50, 10]",2,3,25,0.4738722058787215
220,"[50, 100]",2,3,25,0.7579517568741048
221,"[200, 10]",2,3,25,0.7695258336929371
222,"[100, 10]",2,3,25,0.8473481863786159
223,"[200, 100]",2,3,25,0.5232117606275356
224,"[10, 200]",2,3,25,0.4512346423961295
225,"[10, 100]",2,3,25,0.4196174656550457
226,"[200, 50]",2,3,25,0.5372831373266655
227,"[100, 50]",2,3,25,0.5448449118048783
228,"[10, 100, 50]",2,3,25,0.31604226458743545
229,"[200, 10, 100]",2,3,25,0.3948660615959223
230,"[50, 10, 100]",2,3,25,0.16622747856248196
231,"[10, 200, 100]",2,3,25,0.27202628936545303
232,"[100, 10, 200]",2,3,25,0.46037897948909207
233,"[100, 200, 50]",2,3,25,0.4521796635345023
234,"[100, 50, 10]",2,3,25,0.36048061475299353
235,"[200, 50, 10]",2,3,25,0.6812901201277677
236,"[50, 10, 200]",2,3,25,0.5968177253326638
237,"[50, 200, 10]",2,3,25,0.4580075875132423
238,"[100, 200, 10]",2,3,25,0.7190572034514154
239,"[10, 50, 100]",2,3,25,0.44087975959601
240,"[100, 10, 50]",2,3,25,0.5805466874388369
241,"[200, 10, 50]",2,3,25,0.6858580453199208
242,"[200, 100, 50]",2,3,25,0.4886956586977754
243,"[50, 100, 200]",2,3,25,0.7547845369668357
244,"[10, 200, 50]",2,3,25,0.8445486942163793
245,"[200, 100, 10]",2,3,25,0.7214670807785961
246,"[10, 50, 200]",2,3,25,0.5858278245045315
247,"[50, 100, 10]",2,3,25,0.736907022195235
248,"[200, 50, 100]",2,3,25,0.41352731386245883
249,"[50, 200, 100]",2,3,25,0.7887561976051594
250,"[10, 100, 200]",2,3,25,0.7107350629519084
251,"[100, 50, 200]",2,3,25,0.470486681482913
252,"[10, 50]",2,3,50,0.3770137072462871
253,"[100, 200]",2,3,50,0.6997029692001443
254,"[50, 200]",2,3,50,0.4465833627363142
255,"[50, 10]",2,3,50,0.48835110967463913
256,"[50, 100]",2,3,50,0.5410599066444243
257,"[200, 10]",2,3,50,0.7523451526490896
258,"[100, 10]",2,3,50,0.853478631366803
259,"[200, 100]",2,3,50,0.554245769476039
260,"[10, 200]",2,3,50,0.4512346423961295
261,"[10, 100]",2,3,50,0.4196174656550457
262,"[200, 50]",2,3,50,0.47815421718158213
263,"[100, 50]",2,3,50,0.3861844885294287
264,"[10, 100, 50]",2,3,50,0.5464915574839264
265,"[200, 10, 100]",2,3,50,0.2902281603890196
266,"[50, 10, 100]",2,3,50,0.24226232483113216
267,"[10, 200, 100]",2,3,50,0.3896535004289284
268,"[100, 10, 200]",2,3,50,0.40176717885135443
269,"[100, 200, 50]",2,3,50,0.4070221066319896
270,"[100, 50, 10]",2,3,50,0.5450729683912308
271,"[200, 50, 10]",2,3,50,0.6773461631354015
272,"[50, 10, 200]",2,3,50,0.542956504770467
273,"[50, 200, 10]",2,3,50,0.46111317874767427
274,"[100, 200, 10]",2,3,50,0.6139058692786611
275,"[10, 50, 100]",2,3,50,0.5179407267817662
276,"[100, 10, 50]",2,3,50,0.5840688434784623
277,"[200, 10, 50]",2,3,50,0.6234666074885035
278,"[200, 100, 50]",2,3,50,0.5475750604201524
279,"[50, 100, 200]",2,3,50,0.8146403933280162
280,"[10, 200, 50]",2,3,50,0.41170061573265826
281,"[200, 100, 10]",2,3,50,0.6222206510566524
282,"[10, 50, 200]",2,3,50,0.5201041885106814
283,"[50, 100, 10]",2,3,50,0.48358643250086986
284,"[200, 50, 100]",2,3,50,0.6938683527885862
285,"[50, 200, 100]",2,3,50,0.5703820312469159
286,"[10, 100, 200]",2,3,50,0.687058250060931
287,"[100, 50, 200]",2,3,50,0.20958999515503876
288,"[10, 50]",0,1,10,0.4465828059525043
289,"[100, 200]",0,1,10,0.5569782794881194
290,"[50, 200]",0,1,10,0.3609259766294236
291,"[50, 10]",0,1,10,0.5322946569122308
292,"[50, 100]",0,1,10,0.4119855880200416
293,"[200, 10]",0,1,10,0.5208433409275206
294,"[100, 10]",0,1,10,0.4501547562459556
295,"[200, 100]",0,1,10,0.37342041118490027
296,"[10, 200]",0,1,10,0.7937324508201113
297,"[10, 100]",0,1,10,0.3984121003940838
298,"[200, 50]",0,1,10,0.4144185632425783
299,"[100, 50]",0,1,10,0.5292588317582783
300,"[10, 100, 50]",0,1,10,0.6070143215618211
