,0,1,2,3,4,5
97,"[10, 200]",0,1,0.8,50,0.875
98,"[10, 200]",0,1,0.9,50,0.875
99,"[10, 100]",0,1,0.5,50,0.7999999999999999
100,"[10, 100]",0,1,0.8,50,0.7999999999999999
101,"[10, 100]",0,1,0.9,50,0.7999999999999999
102,"[200, 50]",0,1,0.5,50,0.875
103,"[200, 50]",0,1,0.8,50,0.875
104,"[200, 50]",0,1,0.9,50,0.875
105,"[100, 50]",0,1,0.5,50,0.7777777777777777
106,"[100, 50]",0,1,0.8,50,0.7777777777777777
107,"[100, 50]",0,1,0.9,50,0.823529411764706
108,"[10, 50]",2,3,0.5,10,0.7272727272727273
109,"[10, 50]",2,3,0.8,10,0.75
110,"[10, 50]",2,3,0.9,10,0.75
111,"[100, 200]",2,3,0.5,10,0.7272727272727273
112,"[100, 200]",2,3,0.8,10,0.7272727272727273
113,"[100, 200]",2,3,0.9,10,0.7272727272727273
114,"[50, 200]",2,3,0.5,10,0.42857142857142855
115,"[50, 200]",2,3,0.8,10,0.42857142857142855
116,"[50, 200]",2,3,0.9,10,0.42857142857142855
117,"[50, 10]",2,3,0.5,10,0.75
118,"[50, 10]",2,3,0.8,10,0.75
119,"[50, 10]",2,3,0.9,10,0.75
120,"[50, 100]",2,3,0.5,10,0.7272727272727273
121,"[50, 100]",2,3,0.8,10,0.7272727272727273
122,"[50, 100]",2,3,0.9,10,0.7272727272727273
123,"[200, 10]",2,3,0.5,10,0.7272727272727273
124,"[200, 10]",2,3,0.8,10,0.6153846153846154
125,"[200, 10]",2,3,0.9,10,0.6153846153846154
126,"[100, 10]",2,3,0.5,10,0.8571428571428571
127,"[100, 10]",2,3,0.8,10,0.8571428571428571
128,"[100, 10]",2,3,0.9,10,0.8571428571428571
129,"[200, 100]",2,3,0.5,10,0.7272727272727273
130,"[200, 100]",2,3,0.8,10,0.7272727272727273
131,"[200, 100]",2,3,0.9,10,0.7272727272727273
132,"[10, 200]",2,3,0.5,10,0.6666666666666666
133,"[10, 200]",2,3,0.8,10,0.6666666666666666
134,"[10, 200]",2,3,0.9,10,0.6666666666666666
135,"[10, 100]",2,3,0.5,10,0.823529411764706
136,"[10, 100]",2,3,0.8,10,0.75
137,"[10, 100]",2,3,0.9,10,0.75
138,"[200, 50]",2,3,0.5,10,0.7058823529411765
139,"[200, 50]",2,3,0.8,10,0.7058823529411765
140,"[200, 50]",2,3,0.9,10,0.7058823529411765
141,"[100, 50]",2,3,0.5,10,0.5714285714285715
142,"[100, 50]",2,3,0.8,10,0.5714285714285715
143,"[100, 50]",2,3,0.9,10,0.5714285714285715
144,"[10, 50]",2,3,0.5,25,0.7999999999999999
145,"[10, 50]",2,3,0.8,25,0.7999999999999999
146,"[10, 50]",2,3,0.9,25,0.7999999999999999
147,"[100, 200]",2,3,0.5,25,0.7272727272727273
148,"[100, 200]",2,3,0.8,25,0.7272727272727273
149,"[100, 200]",2,3,0.9,25,0.7272727272727273
150,"[50, 200]",2,3,0.5,25,0.42857142857142855
151,"[50, 200]",2,3,0.8,25,0.42857142857142855
152,"[50, 200]",2,3,0.9,25,0.42857142857142855
153,"[50, 10]",2,3,0.5,25,0.7999999999999999
154,"[50, 10]",2,3,0.8,25,0.7999999999999999
155,"[50, 10]",2,3,0.9,25,0.8571428571428571
156,"[50, 100]",2,3,0.5,25,0.7272727272727273
157,"[50, 100]",2,3,0.8,25,0.7272727272727273
158,"[50, 100]",2,3,0.9,25,0.7272727272727273
159,"[200, 10]",2,3,0.5,25,0.7272727272727273
160,"[200, 10]",2,3,0.8,25,0.6153846153846154
161,"[200, 10]",2,3,0.9,25,0.6153846153846154
162,"[100, 10]",2,3,0.5,25,0.8571428571428571
163,"[100, 10]",2,3,0.8,25,0.8571428571428571
164,"[100, 10]",2,3,0.9,25,0.8571428571428571
165,"[200, 100]",2,3,0.5,25,0.7272727272727273
166,"[200, 100]",2,3,0.8,25,0.7272727272727273
167,"[200, 100]",2,3,0.9,25,0.7272727272727273
168,"[10, 200]",2,3,0.5,25,0.6666666666666666
169,"[10, 200]",2,3,0.8,25,0.6666666666666666
170,"[10, 200]",2,3,0.9,25,0.6666666666666666
171,"[10, 100]",2,3,0.5,25,0.7058823529411765
172,"[10, 100]",2,3,0.8,25,0.7058823529411765
173,"[10, 100]",2,3,0.9,25,0.7058823529411765
174,"[200, 50]",2,3,0.5,25,0.7058823529411765
175,"[200, 50]",2,3,0.8,25,0.7058823529411765
176,"[200, 50]",2,3,0.9,25,0.7058823529411765
177,"[100, 50]",2,3,0.5,25,0.5714285714285715
178,"[100, 50]",2,3,0.8,25,0.5714285714285715
179,"[100, 50]",2,3,0.9,25,0.5714285714285715
180,"[10, 50]",2,3,0.5,50,0.75
181,"[10, 50]",2,3,0.8,50,0.75
182,"[10, 50]",2,3,0.9,50,0.75
183,"[100, 200]",2,3,0.5,50,0.7272727272727273
184,"[100, 200]",2,3,0.8,50,0.7272727272727273
185,"[100, 200]",2,3,0.9,50,0.7272727272727273
186,"[50, 200]",2,3,0.5,50,0.42857142857142855
187,"[50, 200]",2,3,0.8,50,0.42857142857142855
188,"[50, 200]",2,3,0.9,50,0.42857142857142855
189,"[50, 10]",2,3,0.5,50,0.7999999999999999
190,"[50, 10]",2,3,0.8,50,0.7999999999999999
191,"[50, 10]",2,3,0.9,50,0.8571428571428571
192,"[50, 100]",2,3,0.5,50,0.7272727272727273
193,"[50, 100]",2,3,0.8,50,0.7272727272727273
194,"[50, 100]",2,3,0.9,50,0.7272727272727273
195,"[200, 10]",2,3,0.5,50,0.7272727272727273
196,"[200, 10]",2,3,0.8,50,0.6153846153846154
197,"[200, 10]",2,3,0.9,50,0.6153846153846154
198,"[100, 10]",2,3,0.5,50,0.8571428571428571
199,"[100, 10]",2,3,0.8,50,0.8571428571428571
200,"[100, 10]",2,3,0.9,50,0.8571428571428571
201,"[200, 100]",2,3,0.5,50,0.7272727272727273
202,"[200, 100]",2,3,0.8,50,0.7272727272727273
203,"[200, 100]",2,3,0.9,50,0.7272727272727273
204,"[10, 200]",2,3,0.5,50,0.6666666666666666
205,"[10, 200]",2,3,0.8,50,0.6666666666666666
206,"[10, 200]",2,3,0.9,50,0.6666666666666666
207,"[10, 100]",2,3,0.5,50,0.6666666666666665
208,"[10, 100]",2,3,0.8,50,0.7058823529411765
209,"[10, 100]",2,3,0.9,50,0.7058823529411765
210,"[200, 50]",2,3,0.5,50,0.7058823529411765
211,"[200, 50]",2,3,0.8,50,0.7058823529411765
212,"[200, 50]",2,3,0.9,50,0.7058823529411765
213,"[100, 50]",2,3,0.5,50,0.5714285714285715
214,"[100, 50]",2,3,0.8,50,0.5714285714285715
215,"[100, 50]",2,3,0.9,50,0.5714285714285715
216,"[10, 50]",0,1,0.5,10,0.9411764705882353
217,"[10, 50]",0,1,0.8,10,0.9411764705882353
218,"[10, 50]",0,1,0.9,10,0.9411764705882353
219,"[100, 200]",0,1,0.5,10,0.875
220,"[100, 200]",0,1,0.8,10,0.875
221,"[100, 200]",0,1,0.9,10,0.875
222,"[50, 200]",0,1,0.5,10,0.7058823529411765
223,"[50, 200]",0,1,0.8,10,0.7058823529411765
224,"[50, 200]",0,1,0.9,10,0.7058823529411765
225,"[50, 10]",0,1,0.5,10,0.888888888888889
226,"[50, 10]",0,1,0.8,10,0.823529411764706
227,"[50, 10]",0,1,0.9,10,0.823529411764706
228,"[50, 100]",0,1,0.5,10,0.7777777777777777
229,"[50, 100]",0,1,0.8,10,0.7058823529411765
230,"[50, 100]",0,1,0.9,10,0.7058823529411765
